,Brand,Varieties,Type,Centi_liter,Year,ABV_Percent,Price
281,Macaloney’s,St. Mallie Single Cask Canadian,Canadian,70cl,,46% ABV,
282,Macaloney’s,Siol Dugall Canadian Single Malt,Canadian,70cl,,45% ABV,
283,Macaloney’s,Kildara Canadian Single Malt,Canadian,70cl,,46% ABV,
284,Macaloney’s,Cath-Nah-Aven Canadian Single Malt,Canadian,70cl,,46% ABV,
285,Macaloney’s,An Loy Canadian Single Malt,Canadian,70cl,,46% ABV,
286,Penderyn,Dragon Series - Celt Welsh Single Malt,Welsh,70cl,,40% ABV,£34.95
287,Penderyn,Dragon Series - Myth Welsh Single Malt,Welsh,70cl,,40% ABV,£32.95
288,Da Mhile,Organic Sherry Cask Matured Welsh,Welsh,70cl,,46% ABV,£92.90
289,Aber Falls,Single Malt Welsh,Welsh,70cl,,40% ABV,£24.95
290,Penderyn,Icons Of Wales #10 - Yma O Hyd,,70cl,,43% ABV,£39.45
291,Penderyn,Rich Oak Finish,,70cl,,46% ABV,£44.95
292,Penderyn,Portwood Finish,,70cl,,46% ABV,£54.95
293,Penderyn,Sherrywood Cask Finish,,70cl,,46% ABV,£43.95
294,Penderyn,Madeira Cask Finish,,70cl,,46% ABV,£37.95
295,Aber Falls,Vin Santo Cask Finish Welsh Single Malt,Welsh,70cl,,46% ABV,£69.95
296,Aber Falls,Sauternes Cask Finish Welsh Single Malt,Welsh,70cl,,47% ABV,£58.95
297,Aber Falls,Calvados Cask Finish Welsh Single Malt,Welsh,70cl,,46% ABV,£59.95
298,Penderyn,Ex-Rye Small Batch Single Malt Welsh,Rye,70cl,,50% ABV,£72.95
299,Penderyn,Triple Wine Small Batch Single Malt Welsh,Welsh,70cl,,50% ABV,£72.95
300,Penderyn,Red Wine & Cognac Small Batch Single Malt Welsh,Welsh,70cl,,50% ABV,£72.95
301,Penderyn,Portwood Finish Whisky (Old,,70cl,,46% ABV,£49.95
302,Penderyn,HTFW Exclusive - Brandy Single Cask #B3,,70cl,,9% ABV,£99.95
303,Penderyn,HTFW Exclusive - Ruby Port Single Cask #PT412,,70cl,,0% ABV,£149.95
304,Penderyn,HTFW Exclusive - Madeira Single Cask #116-4,,70cl,,0% ABV,£149.95
305,Da Mhile,Organic Welsh Single Grain,Welsh,70cl,,46% ABV,£79.95
306,Mackmyra,Svensk Ek Swedish Single Malt,Swedish,70cl,,1% ABV,£59.95
307,Mackmyra,Svensk EK Swedish Single Malt Miniature,Swedish,5cl,,1% ABV,£4.95
308,High Coast,Berry Bros & Rudd - Peated Single Cask #4333,,70cl,"2012
Vintage",8% ABV,£119.95
309,Mackmyra,Bjorksav Miniature,,5cl,,1% ABV,£9.95
310,Mackmyra,Stjarnrok Miniature,,5cl,,1% ABV,£12.95
311,Mackmyra,Destination Swedish Single Malt,Swedish,70cl,,7% ABV,£64.95
312,Mackmyra,Moment Series - Virvelvind,,70cl,,8% ABV,£104.95
313,Mackmyra,Limousin Swedish Single Malt,Swedish,70cl,,1% ABV,£59.95
314,Smogen,That Boutique-y Whisky Company - Batch #2 Swedish,Swedish,50cl,"8 Year Old
·
2014
Vintage",3% ABV,£132.95
315,Mackmyra,Moment Series - Brukswhisky DLX II,,70cl,"9 Year Old
·
2012
Vintage",44% ABV,£117.95
316,Mackmyra,Brukswhisky Single Malt,,70cl,"13 Year Old
·
2008
Vintage",4% ABV,£54.95
317,Mackmyra,Intelligens AI:02 Swedish,Swedish,70cl,,1% ABV,£64.95
318,Mackmyra,Stjarnrok Swedish Single Malt,Swedish,70cl,,1% ABV,£64.95
319,High Coast,Berry Bros & Rudd Nordic Casks - Swedish Single Cask #1384,Swedish,70cl,"2013
Vintage",9% ABV,£174.95
320,Mackmyra,Bjorksav Swedish Single Malt,Swedish,70cl,,1% ABV,£62.95
321,Mackmyra,Frihet / Freedom Collection Set Whisky (6 x 1,,100cl,,1% ABV,£999.95
322,Mackmyra,Miniature Gift Pack Whisky (4 x,,5cl,,4% ABV,£39.95
